,Specification Number,Specification description,Region,Type,Volume,Spend,Cluster name,Level 0,Level 1,Level 2,Level 3,nc_Model 1,nc_Model 2,nc_Model 3,nc_Model 4,nt_Model 1,nt_Model 2,nt_Model 3,nct_Model 1,nct_Model 2,nct_Model 3,nct_Model 4
12,200000001175,"Citric Acid, Anhydrous Fine Granular",Global,ward_euclidean,190320.0,329601.1063393518,,"Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular","Citric Acid, Anhydrous Fine Granular",20,2,20,18,16,0,16,20,2,20,3
13,200000001439,Additive-Citric Acid,Global,ward_euclidean,17875.0,41929.03104594578,,Additive,Citric Acid,Citric Acid,Citric Acid,17,10,17,11,9,2,9,17,11,17,19
14,200000001608,"Acid, Citric Acid, Anhydrous",Global,ward_euclidean,816.4800000000001,3574.4825969644276,,"Acid, Citric Acid, Anhydrous","Acid, Citric Acid, Anhydrous","Acid, Citric Acid, Anhydrous","Acid, Citric Acid, Anhydrous",14,2,14,8,0,0,0,14,2,14,0
15,200000001610,"Acid, Citric Acid, Anhydrous, Fine Granules",Global,ward_euclidean,119000.0,233668.83430254392,,"Acid, Citric Acid, Anhydrous, Fine Granules","Acid, Citric Acid, Anhydrous, Fine Granules","Acid, Citric Acid, Anhydrous, Fine Granules","Acid, Citric Acid, Anhydrous, Fine Granules",4,4,4,2,15,12,15,4,5,4,10
16,200000001925,"Acid- Citric Acid-Powder,Anhydrous",Global,ward_euclidean,2135900.0,3614831.074035001,,Acid, Citric Acid,"Powder,Anhydrous","Powder,Anhydrous",18,1,18,14,10,15,10,18,1,18,12
17,200000002804,ACID - CITRIC - ANHYDROUS - POWDER,Global,ward_euclidean,1500.0,6152.439460010718,,ACID , CITRIC , ANHYDROUS , POWDER,6,1,6,4,9,2,9,6,1,6,8
18,200000005507,ACID CITRIC - ANHYDROUS,Global,ward_euclidean,15500.0,28150.00857270762,,ACID CITRIC , ANHYDROUS, ANHYDROUS, ANHYDROUS,7,4,7,2,12,10,12,0,0,7,0
19,200000006808,"ACID- CITRIC ACID 49,75%",Global,ward_euclidean,300.0,3977.7501700000003,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%",11,9,11,1,6,0,6,11,8,11,0
20,200000000454,Acid- Citric Acid - Anhydrous,Global,ward_euclidean,500.0,1330.0,,Acid, Citric Acid , Anhydrous, Anhydrous,0,2,0,0,11,11,11,1,2,0,5
21,200000001782,"Citric Acid, Anhydrous",Global,ward_euclidean,11200.0,28425.46868490593,,"Citric Acid, Anhydrous","Citric Acid, Anhydrous","Citric Acid, Anhydrous","Citric Acid, Anhydrous",4,4,4,0,2,16,2,4,0,4,20
22,200000001786,CITRIC ACID-ANHYDROUS-POWDER GMO,Global,ward_euclidean,2721.5520006694464,10030.0,,CITRIC ACID,ANHYDROUS,POWDER GMO,POWDER GMO,3,1,3,19,0,0,0,7,1,3,9
23,200000001904,Acid- Citric Acid Anhydrous,Global,ward_euclidean,377000.0,833081.8280091677,,Acid, Citric Acid Anhydrous, Citric Acid Anhydrous, Citric Acid Anhydrous,1,6,1,12,1,8,1,3,5,1,6
24,200000003126,Acid- Citric Acid Anhydrous-LA Harm,Global,ward_euclidean,4629258.899999999,6822306.525624065,,Acid, Citric Acid Anhydrous,LA Harm,LA Harm,1,6,1,9,7,7,7,3,5,1,4
25,200000003427,ACID-LIQUID-CITRIC,Global,ward_euclidean,691020.098,520851.0950720001,,ACID,LIQUID,CITRIC,CITRIC,19,2,19,3,4,2,4,19,2,19,2
26,200000005843,Acid-Citric Acid Anhydrous-Powder,Global,ward_euclidean,2300.0,5111.0,,Acid,Citric Acid Anhydrous,Powder,Powder,1,6,1,9,7,14,7,3,5,1,16
27,200000007131,ACID-POWDER-CITRIC NON-GMO,Global,ward_euclidean,107934.928,181373.35107142857,,ACID,POWDER,CITRIC NON,GMO,10,0,10,21,18,10,18,10,0,10,0
28,200000007288,ACID-CITRIC-ENCAPSULATED,Global,ward_euclidean,49215.03233083218,320310.85891344363,,ACID,CITRIC,ENCAPSULATED,ENCAPSULATED,21,0,21,16,20,0,20,0,8,21,0
29,200000010585,Citric Acid Granular,Global,ward_euclidean,8142778.0,9442003.183694273,,Citric Acid Granular,Citric Acid Granular,Citric Acid Granular,Citric Acid Granular,9,9,9,0,6,2,6,9,8,9,0
30,200000000289,ACID-Citric Acid-Monohydrate,Global,ward_euclidean,1925.0,11566.162966832298,,ACID,Citric Acid,Monohydrate,Monohydrate,12,5,12,10,8,13,8,12,4,12,1
31,200000000616,Acid-Citric Acid-E330,Global,ward_euclidean,1451950.0,2050351.5936917209,,Acid,Citric Acid,E330,E330,3,1,3,4,11,0,11,7,1,3,8
32,200000000620,Additive-Citric Acid,Global,ward_euclidean,15075.0,45011.62495236045,,Additive,Citric Acid,Citric Acid,Citric Acid,3,1,3,6,3,0,3,7,1,3,8
33,200000000638,Additive-Citric Acid Monohydrate,Global,ward_euclidean,12900.0,33627.37179782608,,Additive,Citric Acid Monohydrate,Citric Acid Monohydrate,Citric Acid Monohydrate,2,3,2,5,8,13,8,2,3,2,1
34,200000000723,Additive-Citric Acid,Global,ward_euclidean,800.0,3045.063314151512,,Additive,Citric Acid,Citric Acid,Citric Acid,3,1,3,4,3,2,3,7,1,3,8
35,200000005407,CITRIC ACID 50%,Global,ward_euclidean,1050.0,13523.422281172921,,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,CITRIC ACID 50%,9,9,9,0,6,2,6,9,8,9,0
36,200000006341,Additive-Citric Acid Anhydrous-Powder,Global,ward_euclidean,9000.0,12479.52368709678,,Additive,Citric Acid Anhydrous,Powder,Powder,15,8,15,13,13,5,13,15,6,15,17
37,200000006653,"ACID,CITRIC,ANHYDROUS,MEDIUM GRAN",Global,ward_euclidean,4000.0,9328.040657255799,,"ACID,CITRIC,ANHYDROUS,MEDIUM GRAN","ACID,CITRIC,ANHYDROUS,MEDIUM GRAN","ACID,CITRIC,ANHYDROUS,MEDIUM GRAN","ACID,CITRIC,ANHYDROUS,MEDIUM GRAN",2,3,2,5,2,1,2,2,3,2,1
38,200000006961,ACID-CITRIC-FINE GRANULAR,Global,ward_euclidean,3000.0,7547.26,,ACID,CITRIC,FINE GRANULAR,FINE GRANULAR,9,9,9,12,5,17,5,9,8,9,0
39,200000007013,"ACID REG,CITRIC ACID,ANHYDROUS",Global,ward_euclidean,4575.0,11001.477461446448,,"ACID REG,CITRIC ACID,ANHYDROUS","ACID REG,CITRIC ACID,ANHYDROUS","ACID REG,CITRIC ACID,ANHYDROUS","ACID REG,CITRIC ACID,ANHYDROUS",16,7,16,20,2,0,2,16,7,16,7
40,200000003306,CITRIC ACID NON GMO,Global,ward_euclidean,1000.0,1241.67804217419,,CITRIC ACID NON GMO,CITRIC ACID NON GMO,CITRIC ACID NON GMO,CITRIC ACID NON GMO,8,0,8,7,19,2,19,8,0,8,18
41,200000006712,"ACID,CITRIC,ANHYDROUS,FINE",Global,ward_euclidean,2000.0,9010.597545,,"ACID,CITRIC,ANHYDROUS,FINE","ACID,CITRIC,ANHYDROUS,FINE","ACID,CITRIC,ANHYDROUS,FINE","ACID,CITRIC,ANHYDROUS,FINE",2,3,2,5,2,1,2,2,3,2,1
42,200000007135,ACID-POWDER-CITRIC ACID,Global,ward_euclidean,-172.5,-529.58,,ACID,POWDER,CITRIC ACID,CITRIC ACID,10,0,10,11,9,0,9,10,0,10,0
